name,symbol
S&P/ASX 20,XTL
S&P/ASX 50,XFL
S&P/ASX 100,XTO
S&P/ASX 200,XJO
S&P/ASX 200 VIX Index,XVI
S&P/ASX 200 2 x Daily Inverse Index,XNV
S&P/ASX 200 2 x Daily Leverage Index,XLD
S&P/ASX 300,XKO
ALL ORDINARIES,XAO
S&P/ASX MIDCAP 50,XMD
S&P/ASX SMALL ORDINARIES,XSO
S&P/ASX All Australian 50,XAF
S&P/ASX All Australian 200,XAT
S&P/ASX200 A-REIT (Sector),XPJ
S&P/ASX 200 Consumer Discretionary (Sector),XDJ
S&P/ASX 200 Consumer Staples (Sector),XSJ
S&P/ASX Dividend Opportunities Index,XDI
S&P/ASX Emerging Companies Index,XEC
S&P/ASX 200 Energy (Sector),XEJ
S&P/ASX 200 Financials (Sector),XFJ
S&P/ASX 200 Financial-x-A-REIT (Sector),XXJ
S&P/ASX All Ordinaries Gold (Sub Industry),XGD
S&P/ASX 200 Health Care (Sector),XHJ
S&P/ASX 200 Industrials (Sector),XNJ
S&P/ASX 200 Information Technology (Sector),XIJ
S&P/ASX 200 Materials (Sector),XMJ
S&P/ASX 300 Metals and Mining (Industry),XMM
S&P/ASX 200 Net Total Return,XNT
S&P/ASX 200 RESOURCES,XJR
S&P/ASX 200 COMMUNICATION SERVICES (SECTOR),XTJ
S&P/ASX 200 Utilities (Sector),XUJ
All Industrials,XAI
All Resources,XAR
S&P/ASX 100 industrials,XTI
S&P/ASX 100 resources,XTR
S&P/ASX 200 Industrials,XJI
S&P/ASX 200 Property,XJP
S&P/ASX 300 Industrials,XKI
S&P/ASX 300 Property,XKP
S&P/ASX 300 Resources,XKR
S&P/ASX Midcap industrials,XMT
S&P/ASX Midcap resources,XMR
S&P/ASX Small Industrials,XSI
S&P/ASX Small Resources,XSR
Bancassurance,XBI
Banks,XBF
Building Materials,XBM
Chemicals,XCE
Developers & Contractors,XDC
Diversified Resources,XDR
Energy,XEY
Engineering,XEG
Food & Household Goods,XFH
Gold,XGO
Healthcare & Biotechnology Index,XHB
Infrastructure and Utilities,XIU
Investment & Financial Services,XIF
Media,XME
Miscellaneous Industrials,XMI
Other Metals,XOM
Paper & Packaging,XPP
Property Trusts,XPT
Tourism & Leisure,XTU
Transport,XTP
S&P/ASX 200 A-REIT Equal Weight Index,XAE
S&P/ASX 300 Shareholder Yield Index,XSY
S&P/ASX Franked Dividend Index,XFD
S&P/ASX Franked Dividend Index TR,XFT
S&P/ASX 200 Equal Weight Index,XEW
S&P/ASX 200 Inverse Daily Index,XIN
S&P/ASX All Technology Index,XTX
S&P/ASX 200 4.5% Decrement Index (AUD) NTR,XNI
S&P/ASX 200 Futures (AONIA) 4.5% Decrement (AUD)TR,XFR
S&P/ASX Agribusiness Index,XAG
S&P/ASX 200 GROSS TOTAL RETURN INDEX (GTR),XJT
S&P/ASX 200 BANKS (INDUSTRY),XBK
S&P/ASX 200 BANKS (INDUSTRY) (TR),XBT
S&P/ASX 200 BANKS (INDUSTRY) (NTR),XBN
S&P/ASX 200 EMERGING COMPANIES INDEX (TR),XET
S&P/ASX 200 Futures (AONIA) Index (AUD) ER,XFE
S&P/ASX 200 Futures (AONIA) Index (AUD) TR,XFN
S&P/ASX 200 Real Estate (Sector),XRE
S&P/ASX Buy Write Index,XBW
S&P/ASX 200 4.5% Decrement Index (AUD) TR,XRI
